Date,Sleep_Started,Struggle_Time,Interventions,Actual_Sleep_Time,Wake_Up_Time,Sleep_Duration,Sleep_Location,Total_Sleep_Mins,Total_Struggle_Mins
4/17/2017,11:20:00 AM,0:52:00,3,12:12:00 PM,2:19:00 PM,2:07:00,N/A,127.00,52.00
4/17/2017,3:58:00 PM,0:22:00,2,4:20:00 PM,6:21:00 PM,2:01:00,N/A,121.00,22.00
4/17/2017,9:28:00 PM,0:19:00,1,9:47:00 PM,12:26:00 AM,2:39:00,N/A,159.00,19.00
4/18/2017,12:26:00 AM,0:22:00,1,12:48:00 AM,5:00:00 AM,4:12:00,N/A,252.00,22.00
4/18/2017,5:15:00 AM,0:17:00,,5:32:00 AM,7:28:00 AM,1:56:00,N/A,116.00,17.00
4/18/2017,8:50:00 AM,0:20:00,1,9:10:00 AM,10:26:00 AM,1:16:00,N/A,76.00,20.00
4/18/2017,12:00:00 PM,0:29:00,1,12:29:00 PM,12:43:00 PM,0:14:00,N/A,14.00,29.00
4/18/2017,4:25:00 PM,0:05:00,0,4:30:00 PM,5:24:00 PM,0:54:00,N/A,54.00,5.00
4/18/2017,7:00:00 PM,0:34:00,2,7:34:00 PM,9:00:00 PM,1:26:00,N/A,86.00,34.00
4/18/2017,11:00:00 PM,0:37:00,2,11:37:00 PM,3:27:00 AM,3:50:00,N/A,230.00,37.00
4/19/2017,3:45:00 AM,0:45:00,,4:30:00 AM,7:46:00 AM,3:16:00,N/A,196.00,45.00
4/19/2017,9:00:00 AM,0:10:00,,9:10:00 AM,9:40:00 AM,0:30:00,N/A,30.00,10.00
4/19/2017,11:09:00 AM,0:23:00,1,11:32:00 AM,1:05:00 PM,1:33:00,N/A,93.00,23.00
4/19/2017,2:30:00 PM,0:25:00,1,2:55:00 PM,3:40:00 PM,0:45:00,N/A,45.00,25.00
4/19/2017,4:28:00 PM,0:00:00,,4:28:00 PM,4:45:00 PM,0:17:00,N/A,17.00,0.00
4/19/2017,9:45:00 PM,0:27:00,1,10:12:00 PM,11:16:00 PM,1:04:00,N/A,64.00,27.00
4/19/2017,11:30:00 PM,0:00:00,1,11:30:00 PM,1:07:00 AM,1:37:00,N/A,97.00,0.00
4/20/2017,1:26:00 AM,0:00:00,,1:26:00 AM,5:32:00 AM,4:06:00,Bed,246.00,0.00
4/20/2017,7:18:00 AM,0:00:00,,7:18:00 AM,8:09:00 AM,0:51:00,N/A,51.00,0.00
4/20/2017,11:35:00 AM,0:00:00,,11:35:00 AM,12:21:00 PM,0:46:00,N/A,46.00,0.00
4/20/2017,1:50:00 PM,0:00:00,,1:50:00 PM,2:18:00 PM,0:28:00,N/A,28.00,0.00
4/20/2017,5:00:00 PM,0:00:00,,5:00:00 PM,5:45:00 PM,0:45:00,N/A,45.00,0.00
4/20/2017,10:50:00 PM,0:35:00,2,11:25:00 PM,5:45:00 AM,6:20:00,N/A,380.00,35.00
4/21/2017,6:20:00 AM,0:00:00,,6:20:00 AM,7:10:00 AM,0:50:00,N/A,50.00,0.00
4/21/2017,8:19:00 AM,0:00:00,,8:19:00 AM,9:33:00 AM,1:14:00,N/A,74.00,0.00
4/21/2017,2:23:00 PM,0:00:00,,2:23:00 PM,4:00:00 PM,1:37:00,N/A,97.00,0.00
4/21/2017,4:25:00 PM,0:00:00,,4:25:00 PM,6:00:00 PM,1:35:00,N/A,95.00,0.00
4/21/2017,8:30:00 PM,0:32:00,1,9:02:00 PM,1:04:00 AM,4:02:00,N/A,242.00,32.00
4/22/2017,1:55:00 AM,0:00:00,,1:55:00 AM,3:45:00 AM,1:50:00,N/A,110.00,0.00
